Date,Description,Type,Amount,Balance
2026-07-01,Opening Balance,Credit,500000,500000
2026-07-02,Customer Payment,Credit,85000,585000
2026-07-03,Supplier Payment,Debit,42000,543000
2026-07-04,Electricity Bill,Debit,8500,534500
2026-07-05,Salary Payment,Debit,120000,414500
2026-07-06,Customer Payment,Credit,60000,474500
2026-07-07,Rent Payment,Debit,45000,429500
2026-07-08,Customer Payment,Credit,90000,519500
2026-07-09,GST Payment,Debit,38000,481500
2026-07-10,Supplier Payment,Debit,70000,411500
